ID,WMOID,FullName,ShortName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,StartDate,EndDate,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment
CAR,,Carpentras,CAR,,,100.0,,,,France,cultivated,hilly,rural,,,,,1.0,35278.0,,Thierry Duprat (thierry.duprat@meteo.fr),Meteo France,,,2018-12,Closed in Dec 2018
CLH,,Chesapeake Light,CLH,,,37.0,,,,"USA, North Atlantic Ocean","water, ocean",flat,rural,,,,,1.0,36647.0,,Fred M. Denn (Frederick.M.Denn@nasa.gov),NASA,,,2016-12,"Closed in Dec 2016, structural issues"
CNR,,Cener,CNR,,,471.0,,,,"Spain, Navarra",asphalt,mountain valley,urban,,,,,1.0,39995.0,,Xabier Olano (xolano@cener.com),CENER,,,,
COC,,Cocos Island,COC,,,6.0,,,,"Australia, Cocos (Keeling) Islands",grass,flat,rural,,,,,1.0,38244.0,,Matt Tully (m.tully@bom.gov.au),ABOM,,,,
DAA,,De Aar,DAA,,,1287.0,,,,South Africa,sand,flat,rural,,,,,1.0,36647.0,,Joel Botai (Joel.Botai@weathersa.co.za),,,,,
DAR,,Darwin,DAR,,,30.0,,,,Australia,grass,flat,rural,,,,,1.0,37316.0,,Charles Long,,,,2015-01,Closed Jan 2015
DOM,,"Concordia Station, Dome C",DOM,,,3233.0,,,,Antarctica,"glacier, accumulation area",flat,rural,,,,,1.0,38718.0,,Angelo Lupi (a.lupi@isac.cnr.it),,,,,
DON,,Dongsha Atoll,DON,,,2.0,,,,Taiwan,,,,,,,,1.0,,,Carlo Wang (carlo@cc.ncu.edu.tw),,,,,Candidate
DRA,,Desert Rock,DRA,,,1007.0,,,,"USA, Nevada","desert, gravel",flat,rural,,,,,1.0,35827.0,,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,
DWN,,Darwin Met Office,DWN,,,32.0,,,,Australia,grass,flat,rural,,,,,1.0,39448.0,,Matt Tully (m.tully@bom.gov.au),ABOM,,,,
E13,,Southern Great Plains,E13,,,318.0,,,,"USA, Oklahoma",grass,flat,rural,,,,,1.0,34335.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,
ENA,,Eastern North Atlantic,ENA,,,15.2,,,,"Portugal, Azores",grass,hilly,rural,,,,,1.0,42005.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,Candidate
EUR,,Eureka,EUR,,,85.0,,,,"Canada, Ellesmere Island",tundra,hilly,rural,,,,,1.0,39326.0,,,,,,,Closed
FLO,,Florianopolis,FLO,,,11.0,,,,"Brazil, South Atlantic Ocean",concrete,mountain valley,urban,,,,,1.0,34486.0,,Sergio Colle (sergio.colle@ufsc.br),UFSC,,,,
FPE,,Fort Peck,FPE,,,634.0,,,,"USA, Montana",grass,flat,rural,,,,,1.0,34700.0,,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,
FUA,,Fukuoka,FUA,,,3.0,,,,Japan,asphalt,flat,urban,,,,,1.0,40269.0,,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,
GAN,,Gandhinagar,GAN,,,65.0,,,,India,shrub,flat,urban,,,,,1.0,41778.0,,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,
GCR,,Goodwin Creek,GCR,,,98.0,,,,"USA, Mississippi",grass,hilly,rural,,,,,1.0,34700.0,,John A. Augustine (john.a.augustine@noaa.gov),,,,,
GIM,,Granite Island,GIM,,,208.0,,,,"USA, Michigan",grass,flat,urban,,,,,1.0,43374.0,,Bryan Fabbri (bryan.e.fabbri@nasa.gov),NASA,,,,
GOB,,Gobabeb,GOB,,,407.0,,,,"Namibia, Namib Desert",desert gravel,flat,rural,,,,,1.0,41044.0,,Roland Vogt (Roland.Vogt@unibas.ch),,,,,
GUR,,Gurgaon,GUR,,,259.0,,,,India,shrub,flat,urban,,,,,1.0,41750.0,,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,
GVN,,Georg von Neumayer,GVN,,,42.0,,,,"Antarctica, Dronning Maud Land",iceshelf,flat,rural,,,,,1.0,33604.0,,Holger Schmithüsen (Holger.Schmithuesen@awi.de).,,,,,
HOW,,Howrah,HOW,,,51.0,,,,India,shrub,flat,urban,,,,,1.0,41805.0,,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,
ILO,,Ilorin,ILO,,,350.0,,,,Nigeria,shrub,flat,rural,,,,,1.0,33817.0,,T O Aro,,,,2005.0,"Station closed in mid-2005, no funding"
INO,,Magurele (MARS),INO,,,110.0,,,,Romania,grass,flat,rural,,,,,1.0,44317.0,,Konstantinos Fragkos (kostas.fragkos@inoe.ro),,,,,
ISH,,Ishigakijima,ISH,,,5.7,,,,Japan,asphalt,flat,rural,,,,,1.0,40269.0,,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,
IZA,,IzaÃ±a,IZA,,,2372.9,,,,"Spain, Tenerife",rock,mountain top,rural,,,,,1.0,39873.0,,Emilio Cuevas-Agulló (ecuevasa@aemet.es),,,,,
KWA,,Kwajalein,KWA,,,10.0,,,,Marshall Islands,"water, ocean",flat,rural,,,,,1.0,33664.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),,,,,Closed
LAU,,Lauder,LAU,,,350.0,,,,New Zealand,grass,flat,rural,,,,,1.0,35977.0,,Matt Tully (m.tully@bom.gov.au),,,,,
LER,,Lerwick,LER,,,80.0,,,,"United Kingdom, Shetland Island",grass,hilly,rural,,,,,1.0,36892.0,,Grant Hodgetts (grant.hodgetts@metoffice.gov.uk),,,,,
LIN,,Lindenberg,LIN,,,125.0,,,,Germany,cultivated,hilly,rural,,,,,1.0,34578.0,,Stefan Wacker (Stefan.Wacker@dwd.de),,,,,
LLN,,Lulin,LLN,,,2862.0,,,,Taiwan,Mixed forest,mountain,rural,,,,,1.0,2009-01-20,,Carlo Wang (carlo@cc.ncu.edu.tw),,,,,
LRC,,Langley Research Center,LRC,,,3.0,,,,"USA, Virginia",grass,flat,urban,,,,,1.0,41974.0,,Fred M. Denn (Frederick.M.Denn@nasa.gov),,,,,
LYU,,Lanyu Station,LYU,,,324.0,,,,Taiwan,"forest, mixed",mountain top,rural,,,,,1.0,43160.0,,Kun-Wei Lin (adenins@cwb.gov.tw),,,,,
MAN,,Momote,MAN,,,6.0,,,,Papua New Guinea,grass,flat,rural,,,,,1.0,35309.0,,Charles Long,,,,2013.0,Closed late 2013
MNM,,Minamitorishima,MNM,,,7.1,,,,"Japan, Minami-Torishima",water (ocean),flat,rural,,,,,1.0,40269.0,,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,
NAU,,Nauru Island,NAU,,,7.0,,,,Nauru,rock,flat,rural,,,,,1.0,36100.0,,Charles Long.,,,,2013.0,Closed late 2013
NEW,,Newcastle,NEW,,,18.5,,,,Australia,grass,hilly,urban,,,,,1.0,42979.0,,Ben Duck (Benjamin.Duck@csiro.au),,,,,
NYA,,Ny-Ã…lesund,NYA,,,11.0,,,,"Norway, Spitsbergen",tundra,mountain valley,rural,,,,,1.0,33817.0,,Marion.Maturilli@awi.de,,,,,
OHY,,Observatory of Huancayo,OHY,,,3314.0,,,,Peru,grass,mountain valley,rural,,,,,1.0,42948.0,,Luis Suarez Salas (lsuarez@igp.gob.pe),,,,,
PAL,,"Palaiseau, SIRTA Observatory",PAL,,,156.0,,,,France,concrete,flat,urban,,,,,1.0,37742.0,,Jordi Badosa (jordi.badosa@lmd.polytechnique.fr),,,,,
PAR,,Paramaribo,PAR,,,4.0,,,,Surinam,grass,flat,urban,,,,,1.0,43466.0,,Ankie Piters (piters@knmi.nl),,,,,
PAY,,Payerne,PAY,,,491.0,,,,Switzerland,cultivated,hilly,rural,,,,,1.0,33848.0,,Laurent Vuilleumier (laurent.vuilleumier@meteoswiss.ch),,,,,
PSU,,Rock Springs,PSU,,,376.0,,,,"USA, Pennsylvania",cultivated,mountain valley,rural,,,,,1.0,35916.0,,John A. Augustine (john.a.augustine@noaa.gov),,,,,
PTR,,Petrolina,PTR,,,387.0,,,,Brazil,"concrete, since 2015: shrub",flat,rural,,,,,1.0,39052.0,,Enio Bueno Pereira (enio.pereira@inpe.br),,,,,
REG,,Regina,REG,,,578.0,,,,Canada,cultivated,flat,rural,,,,,1.0,34700.0,,,,,,2011.0,Closed end of 2011
RLM,,Rolim de Moura,RLM,,,252.0,,,,Brazil,concrete,flat,rural,,,,,1.0,39083.0,,Enio Bueno Pereira (enio.pereira@inpe.br),,,,2008.0,Closed in 2008
RUN,,"Reunion Island, University",RUN,,,116.0,,,,Reunion,concrete,flat,rural,,,,,1.0,43617.0,,Béatrice Morel (beatrice.morel@univ-reunion.fr),,,,,
SAP,,Sapporo,SAP,,,17.2,,,,Japan,asphalt,flat,urban,,,,,1.0,40269.0,,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,2020-12,Closed in Dec 2020
SBO,,Sede Boqer,SBO,,,500.0,,,,Israel,desert rock,hilly,rural,,,,,1.0,37622.0,,Dr. Nurit Agam (agam@bgu.ac.il),,,,2012.0,Closed 2012
SEL,,"Selegua, Mexico Solarimetric Station",SEL,,,602.0,,,,Mexico,grass,flat,rural,,,,,1.0,43831.0,,Roberto Bonifaz (bonifaz@unam.mx),,,,,
SMS,,SÃ£o Martinho da Serra,SMS,,,489.0,,,,Brazil,"concrete, since 2015: grass",flat,rural,,,,,1.0,38718.0,,Enio Bueno Pereira (enio.pereira@inpe.br),,,,,
SON,,Sonnblick,SON,,,3108.9,,,,Austria,rock,mountain top,rural,,,,,1.0,41275.0,,Marc Olefs (marc.olefs@zamg.ac.at),,,,,
SOV,,Solar Village,SOV,,,650.0,,,,Saudi Arabia,"desert, sand",flat,rural,,,,,1.0,36008.0,,,,,,,Closed/no longer maintained since 2002
SPO,,South Pole,SPO,,,2800.0,,,,Antarctica,"glacier, accumulation area",flat,rural,,,,,1.0,33604.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),,,,,
SXF,,Sioux Falls,SXF,,,473.0,,,,"USA, South Dakota",grass,hilly,rural,,,,,1.0,37773.0,,John A. Augustine (john.a.augustine@noaa.gov),,,,,
SYO,,Syowa,SYO,,,18.0,,,,Antarctica,sea ice,hilly,rural,,,,,1.0,34335.0,,Yoshinobu Tanaka (antarctic@met.kishou.go.jp),,,,,
TAM,,Tamanrasset,TAM,,,1385.0,,,,Algeria,"desert, rock",flat,rural,,,,,1.0,36586.0,,Sidi BAIKA (s.baika@meteo.dz),,,,,
TAT,,Tateno,TAT,,,25.0,,,,Japan,grass,flat,urban,,,,,1.0,35096.0,,Osamu Ijima (ijima@met.kishou.go.jp),,,,,
TIK,,Tiksi,TIK,,,48.0,,,,"Russia, Siberia",tundra,flat,rural,,,,,1.0,40330.0,,Olga Sidorova (olsid@aari.ru),,,,,
TIR,,Tiruvallur,TIR,,,36.0,,,,India,rock,,urban,,,,,1.0,41745.0,,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,
TOR,,Toravere,TOR,,,70.0,,,,Estonia,grass,flat,rural,,,,,1.0,36161.0,,Ain Kallis (kallis@aai.ee),,,,,
XIA,,Xianghe,XIA,,,32.0,,,,China,"desert, rock",flat,rural,,,,,1.0,38353.0,,Xiangao Xia (xxa@mail.iap.ac.cn),,,,2016.0,"Station obstructed, no longer in BSRN since 2016"
YUS,,Yushan Station,YUS,,,3858.0,,,,Taiwan,"forest, mixed",mountain top,rural,,,,,1.0,43191.0,,Kun-Wei Lin (adenins@cwb.gov.tw),,,,,
