ID,WMOID,FullName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
CAP,,Cape Baranova,79.27,101.75,,,,,Russia,tundra,flat,rural,,,1,Olga Sidorova (olsid@aari.ru), ,,,,2016-01-01,,
CAR,,Carpentras,44.083,5.059,100.0,,,,France,cultivated,hilly,rural,,,1,Thierry Duprat (thierry.duprat@meteo.fr),Meteo France,,,2018-12,1996-08-01,,Closed in Dec 2018
CLH,,Chesapeake Light,36.905,-75.71300000000001,37.0,,,,"USA, North Atlantic Ocean","water, ocean",flat,rural,,,1,Fred M. Denn (Frederick.M.Denn@nasa.gov),NASA,,,2016-12,2000-05-01,,"Closed in Dec 2016, structural issues"
CNR,,Cener,42.816,-1.601,471.0,,,,"Spain, Navarra",asphalt,mountain valley,urban,,,1,Xabier Olano (xolano@cener.com),CENER,,,,2009-07-01,,
COC,,Cocos Island,-12.193,96.835,6.0,,,,"Australia, Cocos (Keeling) Islands",grass,flat,rural,,,1,Matt Tully (m.tully@bom.gov.au),ABOM,,,,2004-09-14,,
DAA,,De Aar,-30.6667,23.993000000000002,1287.0,,,,South Africa,sand,flat,rural,,,1,Joel Botai (Joel.Botai@weathersa.co.za), ,,,,2000-05-01,,
DAR,,Darwin,-12.425,130.891,30.0,,,,Australia,grass,flat,rural,,,1,Charles Long,,,,2015-01,2002-03-01,,Closed Jan 2015
DOM,,"Concordia Station, Dome C",-75.1,123.383,3233.0,,,,Antarctica,"glacier, accumulation area",flat,rural,,,1,Angelo Lupi (a.lupi@isac.cnr.it), ,,,,2006-01-01,,
DON,,Dongsha Atoll,20.7,116.73,2.0,,,,Taiwan,,,,,,1,Carlo Wang (carlo@cc.ncu.edu.tw), ,,,,,,Candidate
DRA,,Desert Rock,36.626,-116.01799999999999,1007.0,,,,"USA, Nevada","desert, gravel",flat,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,1998-02-01,,
DWN,,Darwin Met Office,-12.424000000000001,130.8925,32.0,,,,Australia,grass,flat,rural,,,1,Matt Tully (m.tully@bom.gov.au),ABOM,,,,2008-01-01,,
E13,,Southern Great Plains,36.605,-97.485,318.0,,,,"USA, Oklahoma",grass,flat,rural,,,1,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1994-01-01,,
ENA,,Eastern North Atlantic,39.0911,-28.0292,15.2,,,,"Portugal, Azores",grass,hilly,rural,,,1,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,2015-01-01,,Candidate
EUR,,Eureka,79.98899999999999,-85.9404,85.0,,,,"Canada, Ellesmere Island",tundra,hilly,rural,,,1,,,,,,2007-09-01,,Closed
FLO,,Florianopolis,-27.6047,-48.5227,11.0,,,,"Brazil, South Atlantic Ocean",concrete,mountain valley,urban,,,1,Sergio Colle (sergio.colle@ufsc.br),UFSC,,,,1994-06-01,,
FPE,,Fort Peck,48.3167,-105.1,634.0,,,,"USA, Montana",grass,flat,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,1995-01-01,,
FUA,,Fukuoka,33.5822,130.3764,3.0,,,,Japan,asphalt,flat,urban,,,1,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,2010-04-01,,
GAN,,Gandhinagar,23.1101,72.6276,65.0,,,,India,shrub,flat,urban,,,1,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,2014-05-19,,
GCR,,Goodwin Creek,34.2547,-89.8729,98.0,,,,"USA, Mississippi",grass,hilly,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),,,,,1995-01-01,,
GIM,,Granite Island,46.721000000000004,87.411,208.0,,,,"USA, Michigan",grass,flat,urban,,,1,Bryan Fabbri (bryan.e.fabbri@nasa.gov),NASA,,,,2018-10-01,,
GOB,,Gobabeb,-23.5614,15.042,407.0,,,,"Namibia, Namib Desert",desert gravel,flat,rural,,,1,Roland Vogt (Roland.Vogt@unibas.ch),,,,,2012-05-15,,
GUR,,Gurgaon,28.4249,77.156,259.0,,,,India,shrub,flat,urban,,,1,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,2014-04-21,,
GVN,,Georg von Neumayer,-70.65,-8.25,42.0,,,,"Antarctica, Dronning Maud Land",iceshelf,flat,rural,,,1,Holger Schmithüsen (Holger.Schmithuesen@awi.de).,,,,,1992-01-01,,
HOW,,Howrah,22.5535,88.3064,51.0,,,,India,shrub,flat,urban,,,1,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,2014-06-15,,
ILO,,Ilorin,8.5333,4.5667,350.0,,,,Nigeria,shrub,flat,rural,,,1,T O Aro,,,,2005,1992-08-01,,"Station closed in mid-2005, no funding"
ISH,,Ishigakijima,24.3367,124.1644,5.7,,,,Japan,asphalt,flat,rural,,,1,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,2010-04-01,,
IZA,,IzaÃ±a,28.3093,-16.4993,2372.9,,,,"Spain, Tenerife",rock,mountain top,rural,,,1, Emilio Cuevas-Agulló (ecuevasa@aemet.es)	,,,,,2009-03-01,,
KWA,,Kwajalein,8.72,167.731,10.0,,,,Marshall Islands,"water, ocean",flat,rural,,,1, Laura Riihimaki (laura.riihimaki@noaa.gov),,,,,1992-03-01,,Closed
LAU,,Lauder,-45.045,169.68900000000002,350.0,,,,New Zealand,grass,flat,rural,,,1,Matt Tully (m.tully@bom.gov.au),,,,,1998-07-01,,
LER,,Lerwick,60.1389,-1.1847,80.0,,,,"United Kingdom, Shetland Island",grass,hilly,rural,,,1,Grant Hodgetts (grant.hodgetts@metoffice.gov.uk),,,,,2001-01-01,,
LIN,,Lindenberg,52.21,14.122,125.0,,,,Germany,cultivated,hilly,rural,,,1,Stefan Wacker (Stefan.Wacker@dwd.de),,,,,1994-09-01,,
LRC,,Langley Research Center,37.1038,-76.3872,3.0,,,,"USA, Virginia",grass,flat,urban,,,1,Fred M. Denn (Frederick.M.Denn@nasa.gov),,,,,2014-12-01,,
LYU,,Lanyu Station,22.037,121.5583,324.0,,,,Taiwan,"forest, mixed",mountain top,rural,,,1,Kun-Wei Lin (adenins@cwb.gov.tw),,,,,2018-03-01,,
MAN,,Momote,-2.0580000000000003,147.425,6.0,,,,Papua New Guinea,grass,flat,rural,,,1,Charles Long,,,,2013,1996-09-01,,Closed late 2013
MNM,,Minamitorishima,24.2883,153.9833,7.1,,,,"Japan, Minami-Torishima",water (ocean),flat,rural,,,1,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,2010-04-01,,
NAU,,Nauru Island,-0.521,166.9167,7.0,,,,Nauru,rock,flat,rural,,,1,Charles Long.,,,,2013,1998-11-01,,Closed late 2013
NEW,,Newcastle,-32.8842,151.7289,18.5,,,,Australia,grass,hilly,urban,,,1,Ben Duck (Benjamin.Duck@csiro.au),,,,,2017-09-01,,
NYA,,Ny-Ã…lesund,78.925,11.93,11.0,,,,"Norway, Spitsbergen",tundra,mountain valley,rural,,,1,Marion.Maturilli@awi.de,,,,,1992-08-01,,
OHY,,Observatory of Huancayo,-12.05,-75.32,3314.0,,,,Peru,grass,mountain valley,rural,,,1,Luis Suarez Salas (lsuarez@igp.gob.pe),,,,,2017-08-01,,
PAL,,"Palaiseau, SIRTA Observatory",48.713,2.208,156.0,,,,France,concrete,flat,urban,,,1,Jordi Badosa (jordi.badosa@lmd.polytechnique.fr),,,,,2003-05-01,,
PAR,,Paramaribo,5.806,-55.2146,4.0,,,,Surinam,grass,flat,urban,,,1,Ankie Piters (piters@knmi.nl),,,,,2019-01-01,,
PAY,,Payerne,46.815,6.944,491.0,,,,Switzerland,cultivated,hilly,rural,,,1,Laurent Vuilleumier (laurent.vuilleumier@meteoswiss.ch),,,,,1992-09-01,,
PSU,,Rock Springs,40.72,-77.9333,376.0,,,,"USA, Pennsylvania",cultivated,mountain valley,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),,,,,1998-05-01,,
PTR,,Petrolina,-9.068,-40.319,387.0,,,,Brazil,"concrete, since 2015: shrub",flat,rural,,,1,Enio Bueno Pereira (enio.pereira@inpe.br),,,,,2006-12-01,,
REG,,Regina,50.205,-104.713,578.0,,,,Canada,cultivated,flat,rural,,,1,,,,,2011,1995-01-01,,Closed end of 2011
RLM,,Rolim de Moura,-11.582,-61.773,252.0,,,,Brazil,concrete,flat,rural,,,1,Enio Bueno Pereira (enio.pereira@inpe.br),,,,2008,2007-01-01,,Closed in 2008
RUN,,"Reunion Island, University",-20.9014,55.4836,116.0,,,,Reunion,concrete,flat,rural,,,1,Béatrice Morel (beatrice.morel@univ-reunion.fr),,,,,2019-06-01,,
SAP,,Sapporo,43.06,141.3286,17.2,,,,Japan,asphalt,flat,urban,,,1,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,2020-12,2010-04-01,,Closed in Dec 2020
SBO,,Sede Boqer,30.8597,34.7794,500.0,,,,Israel,desert rock,hilly,rural,,,1,Dr. Nurit Agam (agam@bgu.ac.il),,,,2012,2003-01-01,,Closed 2012
SEL,,"Selegua, Mexico Solarimetric Station",15.784,-91.9902,602.0,,,,Mexico,grass,flat,rural,,,1,Roberto Bonifaz (bonifaz@unam.mx),,,,,2020-01-01,,
SMS,,SÃ£o Martinho da Serra,-29.4428,-53.8231,489.0,,,,Brazil,"concrete, since 2015: grass",flat,rural,,,1,Enio Bueno Pereira (enio.pereira@inpe.br),,,,,2006-01-01,,
SON,,Sonnblick,47.053999999999995,12.9577,3108.9,,,,Austria,rock,mountain top,rural,,,1,Marc Olefs (marc.olefs@zamg.ac.at),,,,,2013-01-01,,
SOV,,Solar Village,24.91,46.41,650.0,,,,Saudi Arabia,"desert, sand",flat,rural,,,1,,,,,,1998-08-01,,Closed/no longer maintained since 2002
SPO,,South Pole,-89.98299999999999,-24.799,2800.0,,,,Antarctica,"glacier, accumulation area",flat,rural,,,1,Laura Riihimaki (laura.riihimaki@noaa.gov),,,,,1992-01-01,,
SXF,,Sioux Falls,43.73,-96.62,473.0,,,,"USA, South Dakota",grass,hilly,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),,,,,2003-06-01,,
SYO,,Syowa,-69.005,39.589,18.0,,,,Antarctica,sea ice,hilly,rural,,,1,Yoshinobu Tanaka (antarctic@met.kishou.go.jp),,,,,1994-01-01,,
TAM,,Tamanrasset,22.7903,5.5292,1385.0,,,,Algeria,"desert, rock",flat,rural,,,1,Sidi BAIKA (s.baika@meteo.dz),,,,,2000-03-01,,
TAT,,Tateno,36.0581,140.1258,25.0,,,,Japan,grass,flat,urban,,,1,Osamu Ijima (ijima@met.kishou.go.jp),,,,,1996-02-01,,
TIK,,Tiksi,71.5862,128.9188,48.0,,,,"Russia, Siberia",tundra,flat,rural,,,1,Olga Sidorova (olsid@aari.ru),,,,,2010-06-01,,
TIR,,Tiruvallur,13.0923,79.9738,36.0,,,,India,rock,,urban,,,1,Kadhirvel Boopathi (boopathi.niwe@nic.in),,,,,2014-04-16,,
TOR,,Toravere,58.254,26.462,70.0,,,,Estonia,grass,flat,rural,,,1,Ain Kallis (kallis@aai.ee),,,,,1999-01-01,,
XIA,,Xianghe,39.754,116.962,32.0,,,,China,"desert, rock",flat,rural,,,1,Xiangao Xia (xxa@mail.iap.ac.cn),,,,2016,2005-01-01,,"Station obstructed, no longer in BSRN since 2016"
YUS,,Yushan Station,23.4876,120.9595,3858.0,,,,Taiwan,"forest, mixed",mountain top,rural,,,1,Kun-Wei Lin (adenins@cwb.gov.tw),,,,,2018-04-01,,
INO,,Magurele (MARS),44.3439,26.0123,110,,,,Romania,grass,flat,rural,,,1,Konstantinos Fragkos (kostas.fragkos@inoe.ro),,,,,2021-05-01,,
LLN,,Lulin,23.4686,120.8736,2862,,,,Taiwan,Mixed forest,mountain,rural,,,1,Carlo Wang (carlo@cc.ncu.edu.tw),,,,,	2009-01-20,,
